Time, Low-pass and crossfade (2st partial)
1.093608, 103.001175
1.095123, 101.831635
1.096637, 104.986671
1.098152, 107.869728
1.099667, 107.978523
1.101182, 108.114517
1.102696, 109.773628
1.104211, 108.767281
1.105726, 107.815331
1.107240, 106.863380
1.108755, 106.210609
1.110270, 106.591393
1.111784, 106.591393
1.113299, 105.313057
1.114814, 102.701988
1.116328, 101.178864
1.117843, 102.674789
1.119358, 105.367455
1.120872, 108.114517
1.122387, 110.752785
1.123902, 110.208809
1.125417, 107.733734
1.126931, 107.706535
1.128446, 106.972176
1.129961, 105.421852
1.131475, 102.892380
1.132990, 100.090919
1.134505, 97.316666
1.136019, 98.105423
1.137534, 99.546951
1.139049, 101.314857
1.140563, 102.892380
1.142078, 103.381958
1.143593, 102.837982
1.145108, 102.430000
1.146622, 101.478050
1.148137, 100.145317
1.149652, 99.274963
1.151166, 103.218765
1.152681, 104.823479
1.154196, 103.898727
1.155710, 102.620392
1.157225, 102.076424
1.158740, 101.042877
1.160254, 99.764542
1.161769, 98.459007
1.163284, 99.737343
1.164799, 101.886032
1.166313, 104.714691
1.167828, 106.700188
1.169343, 107.706535
1.170857, 107.162567
1.172372, 106.237808
1.173887, 107.216957
1.175401, 107.924126
1.176916, 107.135368
1.178431, 108.359306
1.179945, 109.039268
1.181460, 106.645790
1.182975, 104.388306
1.184490, 102.837982
1.186004, 103.082771
1.187519, 103.463554
1.189034, 103.409157
1.190548, 103.817131
1.192063, 101.532448
1.193578, 102.375603
1.195092, 103.164368
1.196607, 102.538795
1.198122, 102.294014
1.199636, 103.898727
1.201151, 104.850677
1.202666, 105.068268
1.204181, 102.049225
1.205695, 98.350212
1.207210, 96.663895
1.208725, 97.099075
1.210239, 98.404610
1.211754, 97.235069
1.213269, 95.902336
1.214783, 94.841591
1.216298, 94.107224
1.217813, 95.004784
1.219327, 95.494354
1.220842, 96.500702
1.222357, 97.017479
1.223872, 97.507050
1.225386, 100.471703
1.226901, 101.396454
1.228416, 98.866982
1.229930, 99.111771
1.231445, 98.567802
1.232960, 98.241417
1.234474, 99.982124
1.235989, 101.668442
1.237504, 102.593193
1.239019, 104.361107
1.240533, 107.080971
1.242048, 108.712883
1.243563, 109.229660
1.245077, 108.740082
1.246592, 107.543343
1.248107, 106.645790
1.249621, 106.101814
1.251136, 104.578697
1.252651, 103.381958
1.254165, 104.143517
1.255680, 104.850677
1.257195, 105.476250
1.258710, 107.488945
1.260224, 108.440895
1.261739, 109.338455
1.263254, 108.658485
1.264768, 108.087318
1.266283, 106.700188
1.267798, 106.047417
1.269312, 105.313057
1.270827, 105.095467
1.272342, 105.068268
1.273856, 105.829834
1.275371, 103.953125
1.276886, 104.034721
1.278401, 106.591393
1.279915, 106.917778
1.281430, 106.917778
1.282945, 107.216957
1.284459, 105.340256
1.285974, 104.034721
1.287489, 104.524300
1.289003, 107.570541
1.290518, 109.909622
1.292033, 111.677536
1.293547, 112.411896
1.295062, 113.200661
1.296577, 112.765480
1.298092, 111.351151
1.299606, 109.664833
1.301121, 108.005722
1.302636, 107.815331
1.304150, 109.256859
1.305665, 109.773628
1.307180, 109.991219
1.308694, 108.848877
1.310209, 109.447250
1.311724, 109.338455
1.313239, 108.794479
1.314753, 107.352951
1.316268, 106.428200
1.317783, 106.863380
1.319297, 108.848877
1.320812, 110.535194
1.322327, 110.507996
1.323841, 108.576889
1.325356, 106.645790
