Time, Low-pass (2st partial)
1.863072, 192.922867
1.864587, 193.225266
1.866101, 193.558380
1.867616, 193.958115
1.869131, 194.401138
1.870645, 194.855820
1.872160, 195.318619
1.873675, 195.794601
1.875189, 196.284103
1.876704, 196.777664
1.878219, 197.244202
1.879733, 197.650299
1.881248, 197.996735
1.882763, 198.301544
1.884278, 198.568558
1.885792, 198.806961
1.887307, 199.042709
1.888822, 199.284973
1.890336, 199.515472
1.891851, 199.722733
1.893366, 199.916077
1.894880, 200.110504
1.896395, 200.319458
1.897910, 200.556183
1.899424, 200.820114
1.900939, 201.095642
1.902454, 201.385452
1.903969, 201.706985
1.905483, 202.063187
1.906998, 202.440048
1.908513, 202.843353
1.910027, 203.317291
1.911542, 203.875122
1.913057, 204.466370
1.914571, 205.035645
1.916086, 205.550934
1.917601, 205.992462
